Phylum,Class,Order,Family,Genus,Species,aphiaID,species_filter,method
Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,Spiophanes bombyx,131187,spiophanes bombyx,traditional
Annelida,Polychaeta,Sabellida,Serpulidae,Spirorbis,Spirorbis spirorbis,131237,spirorbis spirorbis,traditional
Annelida,Polychaeta,Terebellida,Cirratulidae,Tharyx,Tharyx acutus,155243,tharyx acutus,traditional
Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer irroratus,158057,cancer irroratus,both
Arthropoda,Malacostraca,Amphipoda,Caprellidae,Caprella,Caprella penantis,101846,caprella penantis,both
Arthropoda,Malacostraca,Decapoda,Carcinidae,Carcinus,Carcinus maenas,107381,carcinus maenas,both
Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,Crangon septemspinosa,158355,crangon septemspinosa,both
Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Dexamine,Dexamine thea,102136,dexamine thea,both
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus lawrencianus,158093,gammarus lawrencianus,both
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus mucronatus,158094,gammarus mucronatus,both
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,Gammarus oceanicus,102285,gammarus oceanicus,both
Arthropoda,Malacostraca,Decapoda,Nephropidae,Homarus,Homarus americanus,156134,homarus americanus,both
Arthropoda,Malacostraca,Isopoda,Janiridae,Jaera,Jaera albifrons,118715,jaera albifrons,both
Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus acadianus,158400,pagurus acadianus,both
Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Pagurus longicarpus,158403,pagurus longicarpus,both
Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus,Amphibalanus improvisus,421139,amphibalanus improvisus,edna
Arthropoda,Thecostraca,Balanomorpha,Balanidae,Balanus,Balanus crenatus,106215,balanus crenatus,edna
Arthropoda,Malacostraca,Amphipoda,Calliopiidae,Calliopius,Calliopius laeviusculus,102178,calliopius laeviusculus,edna
Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Cancer borealis,158056,cancer borealis,edna
Arthropoda,Malacostraca,Decapoda,Panopeidae,Dyspanopeus,Dyspanopeus sayi,107412,dyspanopeus sayi,edna
Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,Jassa marmorata,102433,jassa marmorata,edna
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,Monocorophium acherusicum,225814,monocorophium acherusicum,edna
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Monocorophium,Monocorophium insidiosum,148592,monocorophium insidiosum,edna
Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,Mysis gaspensis,157805,mysis gaspensis,edna
Arthropoda,Malacostraca,Amphipoda,Talitridae,Orchestia,Orchestia grillus,158123,orchestia grillus,edna
Arthropoda,Thecostraca,Balanomorpha,Balanidae,Semibalanus,Semibalanus balanoides,106210,semibalanus balanoides,edna
Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,Ampelisca,Ampelisca vadorum,158022,ampelisca vadorum,traditional
Arthropoda,Malacostraca,Amphipoda,Ampithoidae,Ampithoe,Ampithoe valida,102005,ampithoe valida,traditional
Arthropoda,Malacostraca,Tanaidacea,Leptocheliidae,Chondrochelia,NA,880787,chondrochelia,traditional
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,Corophium volutator,102101,corophium volutator,traditional
Arthropoda,Malacostraca,Cumacea,NA,NA,NA,1137,cumacea,traditional
Arthropoda,Malacostraca,Amphipoda,Gammaridae,Echinogammarus incertae sedis,Echinogammarus incertae sedis finmarchicus,1651000,echinogammarus incertae sedis finmarchicus,traditional
Arthropoda,Malacostraca,Isopoda,Idoteidae,Edotia,Edotia triloba,157885,edotia triloba,traditional
Arthropoda,Malacostraca,Amphipoda,Stenothoidae,Hardametopa,Hardametopa carinata,158099,hardametopa carinata,traditional
Arthropoda,Malacostraca,Tanaidacea,Leptocheliidae,Hargeria,Hargeria rapax,247538,hargeria rapax,traditional
Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,Idotea balthica,119039,idotea balthica,traditional
Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,Idotea phosphorea,157891,idotea phosphorea,traditional
Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Ischyrocerus,Ischyrocerus anguipes,102412,ischyrocerus anguipes,traditional
Arthropoda,Malacostraca,Amphipoda,Corophiidae,Leptocheirus,Leptocheirus pinguis,158112,leptocheirus pinguis,traditional
Arthropoda,Malacostraca,Tanaidacea,Leptocheliidae,Leptochelia,NA,136235,leptochelia,traditional
Arthropoda,Malacostraca,Mysida,Mysidae,Mysis,Mysis stenolepis,226994,mysis stenolepis,traditional
Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Orchomenella,Orchomenella minuta,102690,orchomenella minuta,traditional
Arthropoda,Malacostraca,Decapoda,Palaemonidae,Palaemonetes,Palaemonetes vulgaris,158371,palaemonetes vulgaris,traditional
Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,Phoxocephalus,Phoxocephalus holbolli,102989,phoxocephalus holbolli,traditional
Arthropoda,Malacostraca,Amphipoda,Pontogeneiidae,Pontogeneia,Pontogeneia inermis,102223,pontogeneia inermis,traditional
Arthropoda,Malacostraca,Decapoda,Panopeidae,Rhithropanopeus,Rhithropanopeus harrisii,107414,rhithropanopeus harrisii,traditional
Arthropoda,Malacostraca,Amphipoda,Unciolidae,Unciola,Unciola irrorata,158156,unciola irrorata,traditional
Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,111411,membranipora membranacea,both
Bryozoa,Gymnolaemata,Ctenostomatida,Vesiculariidae,Amathia,Amathia gracilis,851589,amathia gracilis,edna
Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Conopeum,Conopeum tenuissimum,159808,conopeum tenuissimum,edna
Bryozoa,Gymnolaemata,NA,NA,NA,NA,NA,crisularia turrita,edna
Bryozoa,Gymnolaemata,Ctenostomatida,Flustrellidridae,Flustrellidra,Flustrellidra hispida,111621,flustrellidra hispida,edna
Bryozoa,Gymnolaemata,Cheilostomatida,Cribrilinidae,Juxtacribrilina,Juxtacribrilina mutabilis,1059484,juxtacribrilina mutabilis,edna
Chordata,Ascidiacea,Stolidobranchia,Styelidae,Botrylloides,Botrylloides violaceus,148715,botrylloides violaceus,edna
Cnidaria,Scyphozoa,Semaeostomeae,Ulmaridae,Aurelia,Aurelia aurita,135306,aurelia aurita,edna
Cnidaria,Hydrozoa,Anthoathecata,Bougainvilliidae,Bougainvillia,Bougainvillia muscus,117328,bougainvillia muscus,edna
Cnidaria,Hydrozoa,Anthoathecata,Hydractiniidae,Clava,Clava multicornis,117426,clava multicornis,edna
