#,Per phyla,Phylum,Class,Species,Total reads,CAB,CON,FAI,FRK,MOS,PLS,RSE,TAE,TAW,WRK,ASB,CHB,LIN,MIR,CHT,NOR,ESB,Decision,Removal Justification
98,6,Mollusca,Bivalvia,Modiolus_modiolus,1601,1059,0,0,542,0,0,0,0,0,0,0,0,0,0,0,0,0,,
99,7,Mollusca,Bivalvia,Mulinia_lateralis,4449,0,0,84,0,0,24,0,172,0,0,77,0,0,652,0,896,2544,,
100,8,Mollusca,Bivalvia,Mya_arenaria,383,0,0,0,0,0,0,0,0,0,0,0,92,5,4,0,276,6,,
101,9,Mollusca,Bivalvia,Mytilus_edulis,164,0,0,0,0,0,0,0,26,122,0,0,11,0,0,5,0,0,,
102,10,Mollusca,Bivalvia,Mytilus_trossulus,1440,0,0,0,32,0,0,0,0,19,1321,0,0,0,5,31,0,32,,
103,11,Mollusca,Bivalvia,Parvicardium_pinnulatum,165,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,,
104,12,Mollusca,Bivalvia,Petricolaria_pholadiformis,72,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,28,40,,
105,13,Mollusca,Cephalopoda,Doryteuthis_pealeii,11,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,,
106,14,Mollusca,Gastropoda,Alderia_modesta,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,,
107,15,Mollusca,Gastropoda,Bittiolum_varium,918,0,0,211,0,0,0,637,0,0,0,0,0,52,0,0,12,6,,
108,16,Mollusca,Gastropoda,Boonea_cf._bisuturalis_BOLD:ABW1340,6262,0,0,6262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
109,17,Mollusca,Gastropoda,Catriona_gymnota,162,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,,
110,18,Mollusca,Gastropoda,Coryphella_verrucosa,51,0,0,47,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,
111,19,Mollusca,Gastropoda,Crepidula_convexa,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,,
112,20,Mollusca,Gastropoda,Crepidula_fornicata,99,0,0,0,0,0,0,0,0,0,77,0,19,0,0,3,0,0,,
113,21,Mollusca,Gastropoda,Doto_coronata,4767,0,0,1548,2886,333,0,0,0,0,0,0,0,0,0,0,0,0,,
114,22,Mollusca,Gastropoda,Ecrobia_truncata,90,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,,
115,23,Mollusca,Gastropoda,Elysia_catulus,427,0,0,0,0,0,0,342,0,0,0,0,0,85,0,0,0,0,,
116,24,Mollusca,Gastropoda,Ercolania_fuscata,1342,0,0,0,0,0,0,71,0,0,0,57,0,8,0,0,0,1206,,
117,25,Mollusca,Gastropoda,Haminoea_solitaria,4736,0,0,237,0,0,0,1266,0,0,0,3230,0,3,0,0,0,0,,
118,26,Mollusca,Gastropoda,Lacuna_vincta,679,0,29,0,67,0,403,0,0,110,70,0,0,0,0,0,0,0,,
119,27,Mollusca,Gastropoda,Littorina_littorea,4127,0,1617,34,25,0,113,92,0,297,65,0,1867,0,0,17,0,0,,
120,28,Mollusca,Gastropoda,Littorina_obtusata,262,26,11,0,0,0,60,19,0,146,0,0,0,0,0,0,0,0,,
121,29,Mollusca,Gastropoda,Littorina_saxatilis,131,0,17,0,0,0,0,111,0,0,0,0,0,3,0,0,0,0,,
122,30,Mollusca,Gastropoda,Margarites_helicinus,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
123,31,Mollusca,Gastropoda,Melampus_bidentatus,443,0,0,0,0,102,0,67,0,0,0,0,0,274,0,0,0,0,,
124,32,Mollusca,Gastropoda,Onchidoris_muricata,33,11,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,,
125,33,Mollusca,Gastropoda,Spurwinkia_salsa,3922,0,0,0,0,0,0,0,0,0,0,190,8,0,0,0,0,3724,,
126,34,Mollusca,Gastropoda,Tenellia_adspersa,1680,0,0,0,0,0,0,0,0,0,0,258,0,0,2,0,1410,10,,
127,35,Mollusca,Gastropoda,Tergipes_tergipes,3580,2485,0,0,0,1053,0,0,0,0,42,0,0,0,0,0,0,0,,
128,36,Mollusca,Gastropoda,Testudinalia_testudinalis,95,0,30,0,0,0,0,11,0,54,0,0,0,0,0,0,0,0,,
129,37,Mollusca,Gastropoda,Tritia_trivittata,630,0,0,0,0,56,0,0,574,0,0,0,0,0,0,0,0,0,,
